Fisik,Tim,SeniVisual,Musik,Memasak,BelaDiri,Logika,Bahasa,Sains,Desain,Teknologi,Mekanik,talent
2,5,2,5,1,2,2,3,3,2,2,1,Band
2,2,2,3,2,2,4,2,2,2,4,3,Math
3,3,5,1,1,3,2,3,1,4,3,2,DKV
3,2,2,1,2,2,5,1,2,2,4,1,Math
2,1,3,1,3,2,5,1,3,2,4,3,Math
3,3,1,1,4,2,2,1,4,3,1,1,Cooking
3,2,2,1,4,1,2,5,1,1,3,3,English
2,3,3,2,5,3,2,1,1,4,3,3,Cooking
1,1,1,3,3,2,5,2,3,2,4,3,Math
2,2,2,1,2,2,5,3,2,3,4,1,Math
3,3,3,2,3,2,4,2,1,1,4,2,Math
1,5,4,5,1,3,1,1,1,3,2,3,Band
2,2,1,1,1,2,5,3,1,1,4,4,Math
3,3,3,3,3,2,4,2,5,5,2,2,Art & Science
1,4,3,2,2,2,5,1,3,1,2,2,Math
2,4,2,1,3,1,4,3,3,2,4,2,Coding
1,2,2,2,1,2,5,3,3,3,4,1,Math
3,2,3,2,5,2,1,2,2,3,1,3,Cooking
1,2,3,2,3,1,5,3,2,3,4,2,Math
5,5,2,2,2,4,3,1,2,1,2,3,Futsal
4,5,1,1,2,2,1,2,1,2,2,2,Futsal
3,3,3,1,2,3,3,2,3,2,4,5,Assemble
1,2,3,1,2,3,2,2,4,5,3,3,Art & Science
4,3,2,3,2,5,3,3,3,2,2,2,Tapak Suci
5,3,3,3,2,5,3,3,2,2,1,1,Tapak Suci
3,4,3,4,3,2,4,3,3,1,4,2,Drone
3,1,3,2,3,2,5,2,3,1,5,3,Coding
1,3,3,2,2,3,4,2,2,2,1,1,Math
2,1,3,1,3,3,5,2,3,3,2,2,Math
5,3,3,2,1,4,1,1,3,3,3,2,Tapak Suci
1,3,2,1,1,2,2,5,1,2,3,1,English
2,3,4,2,2,2,2,2,2,4,4,1,DKV
1,3,4,2,2,3,2,1,1,5,2,2,DKV
1,3,1,2,1,1,5,2,3,2,5,4,Drone
5,3,2,1,2,5,2,3,3,3,1,1,Tapak Suci
3,4,5,3,1,2,4,3,5,5,2,1,Art & Science
2,3,4,2,3,1,3,1,2,5,4,1,DKV
4,4,3,3,2,2,3,2,3,1,2,3,Band
3,4,2,2,2,3,3,2,3,1,4,4,Coding
1,4,2,3,2,2,5,2,3,3,5,3,Coding
4,4,4,4,1,4,3,3,2,2,1,1,Tapak Suci
2,2,3,5,1,2,2,2,1,3,3,2,Band
1,3,2,2,2,2,1,4,1,2,2,1,English
2,1,5,1,3,2,2,2,2,5,3,1,DKV
1,4,1,2,4,1,3,1,4,2,5,3,Coding
1,4,2,5,3,1,1,2,2,4,2,2,Band
3,3,1,2,1,2,4,2,4,1,3,4,Drone
1,3,3,5,1,1,3,1,2,3,3,3,Band
5,4,3,2,1,2,1,2,2,2,1,1,Futsal
5,5,2,3,2,1,1,2,2,2,3,2,Basket
2,4,2,2,2,2,2,4,3,1,1,2,English
2,3,2,2,3,2,4,3,2,2,5,2,Coding
4,4,4,1,4,5,3,1,2,2,2,3,Tapak Suci
4,3,2,2,2,2,3,3,3,2,3,5,Assemble
1,2,4,2,2,2,3,3,5,5,2,1,Art & Science
5,3,1,2,5,3,3,2,2,2,2,3,Cooking
4,5,4,2,2,2,1,1,1,1,2,2,Basket
